gene	phenotyp
ADPRS	Neurodegeneration,-childhood-onset,-stress-induced,-with-variable-ataxia-and-seizures,-618170-(3),-Autosomal-recessive
ADRA2A	?Lipodystrophy,-familial-partial,-type-8,-620679-(3),-Autosomal-dominant
ADRB1	?[Short-sleep,-familial-natural,-2],-618591-(3),-Autosomal-dominant;-[Resting-heart-rate],-607276-(3)
ADRB3	{Obesity,-susceptibility-to},-601665-(3),-Multifactorial,-Autosomal-dominant,-Autosomal-recessive
ADRB3,ENSG00000285880	{Obesity,-susceptibility-to},-601665-(3),-Multifactorial,-Autosomal-dominant,-Autosomal-recessive
ADSL	Adenylosuccinase-deficiency,-103050-(3),-Autosomal-recessive
ADSL	Intellectual-developmental-disorder,-autosomal-recessive-84,-620401-(3),-Autosomal-recessive
ADSS1	Myopathy,-distal,-5,-617030-(3),-Autosomal-recessive
AEBP1	Ehlers-Danlos-syndrome,-classic-like,-2,-618000-(3),-Autosomal-recessive
AFF2	Intellectual-developmental-disorder,-X-linked-109,-309548-(3),-X-linked-recessive
AFF3	KINSSHIP-syndrome,-619297-(3),-Autosomal-dominant
AFF4	CHOPS-syndrome,-616368-(3),-Autosomal-dominant
AFG3L2	?Facial-palsy,-congenital,-with-ptosis-and-velopharyngeal-dysfunction,-617732-(3),-Autosomal-dominant
AFG3L2	Spastic-ataxia-5,-autosomal-recessive,-614487-(3),-Autosomal-recessive;-Optic-atrophy-12,-618977-(3),-Autosomal-dominant;-Spinocerebellar-ataxia-28,-610246-(3),-Autosomal-dominant
AFP	[Hereditary-persistence-of-alpha-fetoprotein],-615970-(3),-Autosomal-dominant;-Alpha-fetoprotein-deficiency,-615969-(3),-Autosomal-recessive
AGA	Aspartylglucosaminuria,-208400-(3),-Autosomal-recessive
AGBL1	Corneal-dystrophy,-Fuchs-endothelial,-8,-615523-(3),-Autosomal-dominant
AGBL5	Retinitis-pigmentosa-75,-617023-(3),-Autosomal-recessive
AGK	Cataract-38,-autosomal-recessive,-614691-(3),-Autosomal-recessive;-Sengers-syndrome,-212350-(3),-Autosomal-recessive
AGL	Glycogen-storage-disease-IIIa,-232400-(3),-Autosomal-recessive;-Glycogen-storage-disease-IIIb,-232400-(3),-Autosomal-recessive
AGO1	Neurodevelopmental-disorder-with-language-delay-and-behavioral-abnormalities,-with-or-without-seizures,-620292-(3),-Autosomal-dominant
AGO2	Lessel-Kreienkamp-syndrome,-619149-(3),-Autosomal-dominant
AGPAT2	Lipodystrophy,-congenital-generalized,-type-1,-608594-(3),-Autosomal-recessive
AGPS	Rhizomelic-chondrodysplasia-punctata,-type-3,-600121-(3),-Autosomal-recessive
AGR2	Respiratory-infections,-recurrent,-and-failure-to-thrive-with-or-without-diarrhea,-620233-(3),-Autosomal-recessive
AGRN	Myasthenic-syndrome,-congenital,-8,-with-pre--and-postsynaptic-defects,-615120-(3),-Autosomal-recessive
AGRP	{Leanness,-inherited},-601665-(3),-Multifactorial,-Autosomal-dominant,-Autosomal-recessive;-{Obesity,-late-onset},-601665-(3),-Multifactorial,-Autosomal-dominant,-Autosomal-recessive
AGT	Renal-tubular-dysgenesis,-267430-(3),-Autosomal-recessive
AGTPBP1	Neurodegeneration,-childhood-onset,-with-cerebellar-atrophy,-618276-(3),-Autosomal-recessive
AGTR1	{Hypertension,-essential},-145500-(3),-Multifactorial;-Renal-tubular-dysgenesis,-267430-(3),-Autosomal-recessive
AGXT	Hyperoxaluria,-primary,-type-1,-259900-(3),-Autosomal-recessive
AGXT2	[Beta-aminoisobutyric-acid,-urinary-excretion-of],-210100-(3),-Autosomal-recessive
AHCY	Hypermethioninemia-with-deficiency-of-S-adenosylhomocysteine-hydrolase,-613752-(3),-Autosomal-recessive
AHDC1	Xia-Gibbs-syndrome,-615829-(3),-Autosomal-dominant
AHI1	Joubert-syndrome-3,-608629-(3),-Autosomal-recessive
AHR	Foveal-hypoplasia-3,-620958-(3),-Autosomal-recessive;-?Retinitis-pigmentosa-85,-618345-(3),-Autosomal-recessive
AHR,ENSG00000283321	Foveal-hypoplasia-3,-620958-(3),-Autosomal-recessive;-?Retinitis-pigmentosa-85,-618345-(3),-Autosomal-recessive
AHSG	?Alopecia-intellectual-disability-syndrome-1,-203650-(3),-Autosomal-recessive
AICDA	Immunodeficiency-with-hyper-IgM,-type-2,-605258-(3),-Autosomal-recessive
AIFM1	Combined-oxidative-phosphorylation-deficiency-6,-300816-(3),-X-linked-recessive;-Cowchock-syndrome,-310490-(3),-X-linked-recessive;-Spondyloepimetaphyseal-dysplasia,-X-linked,-with-hypomyelinating-leukodystrophy,-300232-(3),-X-linked-recessive;-Deafness,-X-linked-5,-300614-(3),-X-linked-recessive
AIMP1	Leukodystrophy,-hypomyelinating,-3,-260600-(3),-Autosomal-recessive
AIMP1,TBCK	Hypotonia,-infantile,-with-psychomotor-retardation-and-characteristic-facies-3,-616900-(3),-Autosomal-recessive
AIMP1,TBCK	Leukodystrophy,-hypomyelinating,-3,-260600-(3),-Autosomal-recessive
AIMP2	Leukodystrophy,-hypomyelinating,-17,-618006-(3),-Autosomal-recessive
AIMP2,EIF2AK1	Leukodystrophy,-hypomyelinating,-17,-618006-(3),-Autosomal-recessive
AIMP2,EIF2AK1	?Leukoencephalopathy,-motor-delay,-spasticity,-and-dysarthria-syndrome,-618878-(3),-Autosomal-dominant
AIP	Pituitary-adenoma-1,-multiple-types,-102200-(3),-Autosomal-dominant,-Somatic-mutation;-Pituitary-adenoma-predisposition,-102200-(3),-Autosomal-dominant,-Somatic-mutation
AIPL1	Leber-congenital-amaurosis-4,-604393-(3),-Autosomal-dominant,-Autosomal-recessive;-Retinitis-pigmentosa,-juvenile,-604393-(3),-Autosomal-dominant,-Autosomal-recessive;-Cone-rod-dystrophy,-604393-(3),-Autosomal-dominant,-Autosomal-recessive
AIRE	Autoimmune-polyendocrinopathy-syndrome-,-type-I,-with-or-without-reversible-metaphyseal-dysplasia,-240300-(3),-Autosomal-dominant,-Autosomal-recessive
AK1	Anemia,-congenital,-nonspherocytic-hemolytic,-3,-adenylate-kinase-deficient,-612631-(3),-Autosomal-recessive
AK2	Reticular-dysgenesis,-267500-(3),-Autosomal-recessive
AK7	?Spermatogenic-failure-27,-617965-(3),-Autosomal-recessive
AK9	Spermatogenic-failure-89,-620705-(3),-Autosomal-recessive
AKAP3	Spermatogenic-failure-82,-620353-(3),-Autosomal-recessive
AKAP9	?Long-QT-syndrome-11,-611820-(3),-Autosomal-dominant
AKR1C2	46XY-sex-reversal-8,-614279-(3),-Autosomal-recessive
AKR1C4	{46XY-sex-reversal-8,-modifier-of},-614279-(3),-Autosomal-recessive
AKR1D1	Bile-acid-synthesis-defect,-congenital,-2,-235555-(3),-Autosomal-recessive
